data-id;url;url-2;author;year ;name;description;section;price
78;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_revolutionaryroad.jpg?w=260;img/book_title/78;Richard Yates;1961;Revolutionary Road;We think of Updike and Cheever as the masters of postwar American suburbia, of its sunlit euphorias and its drunken discontents. Add Yates to the master list, just subtract the euphorias. His great novel is a bitterly funny and bitterly unfunny account of lethal disappointment in the Connecticut suburbs in 1955. When they were single and in love, Frank and April Wheeler thought of themselves as different smarter, hipper, more alive. Then comes marriage and the steamroller of daily existence   his job for a big company, her wife-and-motherhood. The rewards of the material life seem like small compensation for the daily blows to the ego, which eventually detonate their lives. This may sound like a common predicament, but Yates gives it uncommon force. Though none of his six other novels enjoys the enduring prestige of this one, it doesn't matter. If Revolutionary Road doesn't make him an immortal, immortality isn't worth having.;Popular;5.50
79;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_shelteringsky1st.jpg?w=260;img/book_title/79;Paul Bowles;1949;The Sheltering Sky;A very strange book, and a very seductive one. Port Moseby and his wife, Kit, are traveling in North Africa with their annoying friend Tunner. They turn out to be en route to oblivion, a passage that brings them up against the desert, the Arabs, the French colonizers, a very unsavory mother/son combination and their enigmatic selves. Bowles, who lived much of his life in Tangiers, knew the enticing other-ness of Algeria and Morocco, enough to know that you can write about it in straightforward, unadorned prose are you listening, Lawrence Durrell? and still not fail to convey its treacherous beguilements. The last of this book's three sections, when Kit is given over to her fate in the desert, is one of the damnedest things you will ever read.;Popular;14.99
80;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_slaughterhousefive1st.jpg?w=260;img/book_title/80;Kurt Vonnegut;1969;Slaughterhouse Five;Vonnegut is still more cult favorite than literary lion (and he probably prefers it that way), but he deserves full canonical marks for this kaleidoscopic koan of a novel about Billy Pilgrim, a man who has 'become unstuck in time.' Pilgrim ricochets helplessly from decade to decade, living the episodes of his life in no particular sequence, not excluding his own death, his capture by aliens called Tralfamadorians, and his traumatic service in World War II, when he lives through the firebombing of Dresden. Slaughterhouse-Five is a cynical novel, but beneath the bitter, grim-jawed humor is a desperate, painfully honest attempt to confront the monstrous crimes of the 20th century.;Popular;15.00
81;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_snow_crash.jpg?w=260;img/book_title/81;Neal Stephenson;1992;Snow Crash;Hiro Protagonist   yeah, that's his name   is a freelance hacker and unemployed pizza deliveryman lost in a post-lapsarian, hyper-capitalist future America in which the central government has withered away, leaving behind a landscape of gated communities and endless strip malls lined with cookie-cutter retail franchises. When a virulent computer virus (or is it a drug? or a religion?) called Snow Crash gets loose and somehow starts infecting humans, Hiro teams up with a sassy skateboard messenger to save both the real world and cyberspace. Stephenson is that rare no, unique thing, both a virtuosic literary stylist and a consummate observer of a brave new world where information flows freely between humans and computers, to the point where the two are no longer easily distinguishable.;Bestsellers;12.80
82;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_sot-weed-factor_option.jpg?w=260;img/book_title/82;John Barth;1960;The Sot-Weed Factor;A feast. Dense, funny, endlessly inventive (and, OK, yes, long-winded) this satire of the 18th-century picaresque novel think Fielding's Tom Jones or Sterne's Tristram Shandy  is also an earnest picture of the pitfalls awaiting innocence as it makes its unsteady way in the world. It's the late 17th century and Ebenezer Cooke is a poet, dutiful son and determined virgin who travels from England to Maryland to take possession of his father's tobacco (or 'sot weed') plantation. He is also eventually given to believe that he has been commissioned by the third Lord Baltimore to write an epic poem, The Marylandiad. But things are not always what they seem. Actually, things are almost never what they seem. Not since Candide has a steadfast soul witnessed so many strange scenes or faced so many perils. Pirates, Indians, shrewd prostitutes, armed insurrectionists   Cooke endures them all, plus assaults on his virginity from both women and men. Barth's language is impossibly rich, a wickedly funny take on old English rhetoric and American self-appraisals. For good measure he throws in stories within stories, including the funniest retelling of the Pocahontas tale  revealed to us in the 'secret' journals of Capt. John Smith   that anyone has ever dared to tell.;Bestsellers;15.00
83;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_sound_and_the_fury1st.jpg?w=260;img/book_title/83;William Faulkner;1929;The Sound and the Fury;"Flannery O'Connor's nickname for Faulkner was 'the Dixie Limited.' She didn't mean it entirely kindly: His huge talent and towering ambition made him a literary freight train that other southern writers were often forced to dodge. Both qualities are on full display in The Sound and the Fury, which describes the bitter, incestuous dealings of a Mississippi family fallen on hard times. A formal and stylistic tour de force (in other words, a tough but profoundly rewarding read), the book unfolds in four sections, centered in turn on each of the three Compson brothers   Benjy, a mentally disabled man; Quentin, a depressed, neurotic Harvard student; and Jason, an avaricious jerk   as well as on a black servant named Dilsey. All the brothers are obsessed with the dishonored Caddy, the slutty Compson sister, and with the family honor (and the family fortune) that the Compsons have frittered away. From these ruined fragments and damaged spare parts Faulkner builds a brutally moving epic of love, lust and endurance.";Bestsellers;11.00
84;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_sportswriter.jpg?w=260;img/book_title/84;Richard Ford;1986;The Sportswriter;Frank Bascombe is scrupulously out of touch with himself. Devastated by the death of his young son, divorced now from his wife, he is tiptoeing his way through bereavement, using work   he's a magazine writer   to dislodge his grief, self-medicating with a strenuously pursued normalcy. In this beautifully calibrated book, he finds his way to something like peace, which is a different matter. Ford is masterful at describing hard-won and precarious emotional equilibriums of a kind you very well may recognize as your own. This book led to a no less brilliant sequel, Independence Day. As portraits of a man who has lingered in despair but who refuses in the end to remain there, they have no equal.;Bestsellers;8.99
85;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_spywhocameinfromthecold.jpg?w=260;img/book_title/85;John le Carre;1964;The Spy Who Came in From the Cold;No one wears a tuxedo in le Carre's spy novels. His agents are middle-aged, disappointed, disillusioned men in stained overcoats. In The Spy Who Came In from the Cold a worn-out English spy named Alec Leamas undertakes a terrifying mission in the hope that it will be his last: He pretends to defect to East Germany, the better to infiltrate the enemy's espionage network. Written from personal experience (le Carre   real name David Cornwell   did a hitch in MI6) with pitiless, elegant clarity, The Spy Who Came In from the Cold is a first-rate thriller and more: a sad, sympathetic portrait of a man who has lived by lies and subterfuge for so long, he's forgotten how to tell the truth.;Bestsellers;7.00
86;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_sunalsorises1st.jpg?w=260;img/book_title/86;Ernest Hemingway;1926;The Sun Also Rises;Meet Jake Barnes: working journalist, expatriate, tough talker, tragic hero. Jake was horribly wounded in the war   in fact, he was effectively gelded   so he spends his time in Paris getting drunk in cafes, nursing his ennui, bantering with his hard-boiled friends, and mooning over his unconsummatable love for a beautiful, aristocratic Englishwoman named Bret Ashley who dines on men three meals a day. This doomed pair, plus a lively cast of romantically reckless expatriates, head to Pamplona for the annual fiesta, where they drink vast amounts of wine, hook up, betray one another, and try to forget the caverns of loss and emptiness that gape inside them. The Sun Also Rises popularized the idea of the 'Lost Generation' but the anomie and disappointment at its heart seem to come around for every generation, sooner or later.;Bestsellers;5.50
87;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_theireyesarewatchinggod.jpg?w=260;img/book_title/87; Zora Neale Hurston;1937;Their Eyes Were Watching God;There is no agony,' Hurston once wrote, 'like bearing an untold story inside you.' Janie Crawford, forty-ish, with her 'firm buttocks like she had grapefruits in her hip pockets,' her 'pugnacious breasts,' and her imperial self-possession, has survived the most tempestuous years of her life, buried three husbands, and returned home to tell the story. Or at least to tell it to her best friend Pheoby, who Janie knows will relay it to the curious but envious town folk in the African-American enclave of Eatonville, in the Florida Everglades. (Hurston's actual hometown.) Quite a tale it is, of three men in succession who married and hurt her in different ways. The last of them she outlived only because she outshot him. This is the great tale of black female survival in a world beset by bad weather and bad men. Her succulent book has its stretches of overripe prose, but that's the price of taking the chances she takes with language, chances you have to take to arrive at the witchy places she gets to. (Sizing up her third husband, Tea Cake, she notices 'his lashes curling sharply like drawn scimitars.') It's a short book, but you savor it. And after New Orleans, the climactic scene of hurricane and flood is more powerful than ever.;Bestsellers;15.00
88;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_things-fall-apart-book.jpg?w=260;img/book_title/88;Chinua Achebe;1959;Things Fall Apart;A novel of great power that turns the world upside down. The Nigerian novelist Achebe reached back to the early days of his people's encounter with colonialism, the 1890's, though the white man and his religion make an impression upon the story only in its later stages. Instead of being treated as onlookers to the arrival of the colonial power, either passive or menacing, here the Africans are center stage, capable all the while of nobility but also cruelty, wisdom and bewilderment. Okonkwo is an ambitious man within the Umuofia clan of the Igbo tribe. Determined to be a lord, he observes its rules, even the harshest of them, though that observance will eventually drive away his own son. Achebe guides us through the intricacies of Igbo culture, its profound sense of justice, its sometimes murderous rules, its noble and harmful machismo. By the time the British colonial administrator arrives towards the end of the book to dismiss the natives as savages, we know how profoundly mistaken that word is.;Bestsellers;8.99
89;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_tokillamockingbird.jpg?w=260;img/book_title/89;Harper Lee;1960;To Kill a Mockingbird;It would have been very easy to write a novel about a rape trial involving a black man and a white woman, set in the deep, deeply racist South and seen through the eyes of a young girl, that wallowed in too-simple choices and made-for-TV-movie sentiment. Thankfully that novel is not To Kill a Mockingbird. The young girl is the curious, clear-eyed Scout, and her father, who defends the accused, is the immortal Atticus Finch, a pillar of weary small-town righteousness. What follows is neither simple nor sentimental, but is instead a classic of moral complexity and an endlessly renewable fund of wisdom about the nature of human decency.;Bestsellers;16.00
90;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_tothelighthouse.jpg?w=260;img/book_title/90;Virginia Woolf;1927;To the Lighthouse;"After Woolf published her breakthrough novel Mrs. Dalloway, she raised the stakes and broadened her focus. To the Lighthouse is a stately dance of time, hope and art, as performed by the Ramsay family and their immediate friends as they vacation at a house in the Hebrides. Mrs. Ramsay is a housewife and hostess; her husband is a cold, analytical philosopher; drawn in their wake are, among others, a struggling young painter named Lily Briscoe and their little son James, whose dearest wish is to take a boat ride to a nearby lighthouse. The novel begins as a poignant portrait of family dynamics, but Woolf sets the second half of the book a decade after the first, and that allows her to turn To the Lighthouse into a study of the damage that time and history inflict on the Ramsays' hopes and dreams, and a celebration of what endures.";Bestsellers;19.99
91;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_tropic-of-cancer.jpg?w=260;img/book_title/91;Henry Miller;1934;Tropic of Cancer;This is not a book, in the ordinary sense of the word. No, this is a prolonged insult, a gob of spit in the face of Art, a kick in the pants to God, Man, Destiny, Time, Love, Beauty…' That was Miller. In other words, it's a bum's manifesto, the greatest imaginable. Miller discourses on his life and lowlife in Paris, fashioning his experiences, reflections, orgasms and philosophizing into a shambling narrative. It's impossible to outdo George Orwell's wonderfully overstated appraisal of Miller in 1940  'the only imaginative prose writer of the slightest value who has appeared among the English-speaking races in some time' but it's hard not to agree. He's the thinking man's slacker, but his prose is a force multiplier lucid, honest and unhampered by neurotic self-loathing. Tropic of Cancer was not published in the U.S. until 1961, where it set off an obscenity trial that is still one of the great episodes in the history of free speech. Before Kerouac, before Burroughs, Miller disputed all the imperatives of capitalism. He stood before the temple of money and raised the flag of happiness. You have a problem with that?;Bestsellers;25.00
92;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_ubik1st.jpg?w=260;img/book_title/92;Philip K. Dick;1969;Ubik;An accident has occurred. Joe Chip and his colleagues all but one of them have narrowly escaped an explosion at a moon base. Or is it the other way round? Did Joe and the others die, and did the one fatality, Glen Runciter, actually survive? If Glen is dead and Joe alive, why does Joe keep getting weird messages from Glen? Is Joe's experience of his post-accident life just a hallucination, played out as his flash-frozen body lies in suspended animation? Joe's reality begins to fall apart, and a mysterious, vaguely mystical substance called Ubik available in a handy spray can appears to be the only thing that can stabilize it. From the stuff of space opera, Dick spins a deeply unsettling existential horror story, a nightmare you'll never be sure you've woken up from.;Bestsellers;36.25
93;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_underthenet1st_lowres.jpg?w=260;img/book_title/93;Iris Murdoch;1954;Under the Net;Murdoch, a philosophy don at Oxford, was that rarity, a philosophical novelist who could create real characters, not premises with names attached. Born in Ireland, she revered Wittgenstein, who fostered her contempt for abstractions. (Her title refers to the 'net' he believed language cast over truth.) She also wrote the first English-language elucidation of Sartre, whose existentialism was behind her sharp appreciation of the human potential for leaps into the void. But it was as a novelist that she will be remembered. Until she began sinking into Alzheimer's in the mid-1990's, she maintained a ferocious output. This was the first of her 26 novels, about a circle of bewildered and lovesick friends and acquaintances in London, with excursions into aesthetics and left-wing politics. Right out of the gate she displayed all her sinuous gifts   her questing mind, her comic skepticism, her wildly entangled plots.;Bestsellers;12.80
94;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_undervolcano1st.jpg?w=260;img/book_title/94;Malcolm Lowry;1947;Under the Volcano;To describe his perennial theme, Lowry once borrowed the words of the critic Edmund Wilson: 'the forces in man which cause him to be terrified of himself.' You see exactly what he means in this coruscating novel, which traces the last 24 hours in the life of Geoffrey Firmin, once the British consul in a hellish Mexican town, now a dedicated but utterly cogent alcoholic in that same town, on a day when his ex-wife has returned in a futile attempt to reach out to him. Shadowed by the hoodlums of the corrupt local officialdom, beset by his own furies, Firmin hurtles himself, annotating his fall all the while, into a pit of suffering. A vertiginous picture of self-destruction, seen through the eyes of a man still lucid enough to report to us all the harrowing particulars.;Bestsellers;6.99
95;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_watchmen.jpg?w=260;img/book_title/95;Alan Moore and Dave Gibbons;1986;Watchmen;"Watchmen is a graphic novel   a book-length comic book with ambitions above its station starring a ragbag of bizarre, damaged, retired superheroes: the paunchy, melancholic Nite Owl; the raving doomsayer Rorschach; the blue, glowing, near-omnipotent, no-longer-human Doctor Manhattan. Though their heyday is past, these former crime-fighters are drawn back into action by the murder of a former teammate, The Comedian, which turns out to be the leading edge of a much wider, more disturbing conspiracy. Told with ruthless psychological realism, in fugal, overlapping plotlines and gorgeous, cinematic panels rich with repeating motifs, Watchmen is a heart-pounding, heartbreaking read and a watershed in the evolution of a young medium.";Bestsellers;11.00
96;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_whitenoise1st.jpg?w=260;img/book_title/96;Don DeLillo;1985;White Noise;Affable Jack Gladney is professor of Hitler studies at a small midwestern college whose life is upended when a deadly chemical spill near his home creates what the authorities delicately term an Airborne Toxic Event. Gladney succumbs to anger and paranoia, and his wife, Babette, starts taking an experimental drug designed to do away with the fear of death. Though it's pitched at a level of absurdity slightly above that of real life, White Noise captures the quality of daily existence in media-saturated, hyper-capitalistic postmodern America so precisely, you don't know whether to laugh or whimper.;Bestsellers;8.99
97;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_whiteteeth1st.jpg?w=260;img/book_title/97;Zadie Smith;2000;White Teeth;"This may be the first novel ever written that truly feels at home in our borderless, globalized, intermarried, post-colonial age, populated by 'children with first and last names on a direct collision course.' Published when Smith was just 24, White Teeth follows the friendship of two Londoners, a pub-going working-class bloke named Archie and a Muslim from Bangladesh named Samad. Archie marries a Jamaican; Samad has twin sons, one of whom becomes a religious militant, the other a rabid Anglophile. The overlapping fates of Smith's characters seem to trace the new structures of 21st-century life and test their sturdiness as framework for peace and happiness. Both deeply Dickensian and playfully post-modern, White Teeth doesn't quail before the rampantly ramifying novelistic complexities of a multicultural world. It revels in them.";Bestsellers;15.00
98;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_wide-sargasso-sea1st.jpg?w=260;img/book_title/98;Jean Rhys;1966;Wide Sargasso Sea;In Charlotte Bronte's Jane Eyre, Bertha is the madwoman locked in the attic by her husband Rochester, the simmering Englishman whose children Jane has been hired to tutor. In Bronte's novel we learn little about Bertha other than that she's a monster who must be bound with rope, a white woman from the Caribbean whom Rochester was long ago pressured into marrying for her money. But Rhys, who grew up in the French Caribbean colony of Dominica, presses on the silences in Bronte to give Bertha her own story. Caliban does not become Ariel here, but Rhys turns a menacing cipher into a grieving, plausible young woman, and one whose story says whole worlds about global mixtures, about the misunderstandings between the colonized, the colonizers and the people who can't easily say which they are.;Bestsellers;8.99
